ccode,predicted_intensity,prob_0,prob_1,prob_2,actual_intensity,origin_year,target_year,horizon
310,0,0.8380117132789608,0.11380491212265464,0.048183374598383705,0,2021,2022,1
316,0,0.8422692412365884,0.11220104802485079,0.045529710738560006,0,2021,2022,1
317,0,0.831926322163538,0.11926491620356122,0.04880876163290047,0,2021,2022,1
325,0,0.8281936418022631,0.1252718104414851,0.046534547756250245,0,2021,2022,1
339,0,0.8512691804638256,0.11527154910936595,0.033459270426807436,0,2021,2022,1
343,0,0.8383744915765746,0.12227232320798072,0.039353185215443974,0,2021,2022,1
344,0,0.8599905157612194,0.10607100941663034,0.03393847482214889,0,2021,2022,1
346,0,0.6844535077308135,0.2206379068820878,0.09490858538709743,0,2021,2022,1
349,0,0.8625855607732282,0.10230208471977313,0.03511235450699805,0,2021,2022,1
350,0,0.8202227706993643,0.1240236621223004,0.055753567178334885,0,2021,2022,1
352,0,0.8634097331642423,0.10226484801273475,0.034325418823022626,0,2021,2022,1
355,0,0.8278824984771511,0.12128990247746961,0.05082759904537903,0,2021,2022,1
359,0,0.8272774778180999,0.12813350189735528,0.044589020284544326,0,2021,2022,1
360,0,0.8221961520474206,0.12388179135548359,0.05392205659709582,0,2021,2022,1
365,1,0.3056084943685741,0.4452685286021086,0.2491229770293166,0,2021,2022,1
366,0,0.8682385944445494,0.10042385270546256,0.0313375528499876,0,2021,2022,1
367,0,0.7873433502893121,0.147507908971773,0.06514874073891284,0,2021,2022,1
368,0,0.8588922069152729,0.10737121912030252,0.03373657396442398,0,2021,2022,1
369,1,0.15388482521420102,0.5225130086811156,0.32360216610468356,1,2021,2022,1
370,0,0.7032643291487307,0.19830093680046462,0.09843473405080307,0,2021,2022,1
371,0,0.7231221623879134,0.1887624997728808,0.08811533783920203,0,2021,2022,1
372,0,0.7452070677128663,0.17890690167607187,0.07588603061105925,0,2021,2022,1
373,1,0.17974332011921615,0.4796766933904,0.34057998649038185,1,2021,2022,1
375,0,0.8616325522792533,0.10190577068458745,0.036461677036157936,0,2021,2022,1
380,0,0.8601465402312841,0.10224752697320483,0.037605932795511256,0,2021,2022,1
385,0,0.850610268675408,0.11022338476848657,0.039166346556104334,0,2021,2022,1
390,0,0.8635105342045364,0.10038397518544562,0.03610549061001829,0,2021,2022,1
402,0,0.8221347199326335,0.12760958390589708,0.05025569616146791,0,2021,2022,1
404,0,0.6479403925627633,0.22889781177843338,0.12316179565880207,0,2021,2022,1
420,0,0.6415353025861679,0.2271375986348537,0.13132709877897733,0,2021,2022,1
432,2,0.09944620404341437,0.29365557142963017,0.6068982245269566,2,2021,2022,1
433,0,0.5675379820226828,0.27194858443301306,0.16051343354430483,0,2021,2022,1
434,0,0.615623245564263,0.2587005516446525,0.12567620279108316,1,2021,2022,1
435,0,0.5997430297144377,0.2698033921346783,0.13045357815088388,0,2021,2022,1
436,2,0.11380830853301592,0.42050687731222003,0.4656848141547653,2,2021,2022,1
437,0,0.5616043881286944,0.2648124245158867,0.17358318735541986,0,2021,2022,1
438,0,0.6026369179347719,0.23545289779421327,0.16191018427101636,0,2021,2022,1
439,2,0.10067131844832079,0.30094619061655864,0.598382490935122,2,2021,2022,1
450,0,0.6480728042968938,0.23431691652371714,0.11761027917938777,0,2021,2022,1
451,0,0.6313195889288813,0.2427336088075846,0.1259468022635323,0,2021,2022,1
452,0,0.6093364578637552,0.23149011346741827,0.15917342866882764,0,2021,2022,1
461,0,0.6245762869628926,0.2496731967447096,0.12575051629239645,1,2021,2022,1
475,2,0.09365946643210753,0.29381928210130437,0.6125212514665881,2,2021,2022,1
481,0,0.6846037579435056,0.20118991970653954,0.11420632234995337,0,2021,2022,1
482,1,0.17858329025132996,0.5265021536307852,0.2949145561178834,1,2021,2022,1
483,2,0.08105828277278322,0.36389578664223904,0.555045930584979,1,2021,2022,1
484,0,0.5805140755267167,0.26221761401459365,0.15726831045868875,0,2021,2022,1
490,2,0.10071323424779496,0.2874110237109817,0.6118757420412251,2,2021,2022,1
500,1,0.38883229065476116,0.4044585446004207,0.20670916474481987,1,2021,2022,1
501,1,0.15014366221423012,0.5256827419298022,0.3241735958559694,1,2021,2022,1
510,1,0.3026315298814233,0.4098820456346142,0.2874864244839632,0,2021,2022,1
516,1,0.16808269071146648,0.5037862523626785,0.32813105692585504,1,2021,2022,1
517,1,0.27945717888009897,0.41811505121389986,0.3024277699060016,1,2021,2022,1
520,2,0.10646268146612466,0.27068337236427703,0.6228539461696002,2,2021,2022,1
522,0,0.7308982251368817,0.1856247448429087,0.0834770300202077,0,2021,2022,1
530,2,0.08129276425085173,0.2864868529719622,0.6322203827771876,2,2021,2022,1
531,0,0.5573488123549811,0.2646219442372643,0.17802924340775564,0,2021,2022,1
540,1,0.2770819301982898,0.4011528706226526,0.3217651991790562,1,2021,2022,1
551,0,0.5809895689801575,0.2451700528134868,0.17384037820635762,0,2021,2022,1
552,0,0.5986114260100853,0.23842219059190575,0.16296638339800765,0,2021,2022,1
553,0,0.5434824775148566,0.28296621199066396,0.1735513104944798,0,2021,2022,1
560,0,0.7416272081133864,0.1921154788150613,0.06625731307155196,0,2021,2022,1
565,0,0.7378108305917217,0.17341675924265332,0.08877241016562375,0,2021,2022,1
570,0,0.7821557951919494,0.14681180748827172,0.071032397319778,0,2021,2022,1
571,0,0.7458206665818706,0.16824738975868153,0.08593194365944556,0,2021,2022,1
572,0,0.7414298046523866,0.17179597508101377,0.0867742202665985,0,2021,2022,1
580,0,0.6059821587047783,0.23984416466213015,0.15417367663309084,0,2021,2022,1
581,0,0.6637005185588899,0.23382876731668342,0.10247071412442549,0,2021,2022,1
590,0,0.8629209822782627,0.10720489481500063,0.02987412290673692,0,2021,2022,1
600,0,0.6549391054877927,0.2228122102161678,0.12224868429603822,0,2021,2022,1
615,1,0.28448580421371383,0.42823091994874646,0.2872832758375381,0,2021,2022,1
616,0,0.7240499301931529,0.18793141418851295,0.08801865561833068,0,2021,2022,1
620,1,0.28863553777077466,0.3954903333816889,0.3158741288475354,0,2021,2022,1
625,1,0.1045487080368582,0.48296990638800125,0.4124813855751382,1,2021,2022,1
630,1,0.1488023824777398,0.5371348878889127,0.3140627296333482,0,2021,2022,1
640,1,0.12066620112612263,0.585406183328612,0.29392761554526464,1,2021,2022,1
645,1,0.10614705349160673,0.47035875157539686,0.42349419493299395,1,2021,2022,1
651,1,0.10547361270837063,0.514841030374817,0.379685356916812,1,2021,2022,1
652,2,0.11321478103307277,0.32626020228098723,0.5605250166859413,2,2021,2022,1
660,0,0.6594080865199028,0.22091007301636567,0.11968184046372775,0,2021,2022,1
663,0,0.6709138562689709,0.21335115256105827,0.1157349911699681,0,2021,2022,1
666,1,0.30048463539392745,0.44273506981456306,0.2567802947915092,1,2021,2022,1
670,0,0.6841791049560652,0.2010391396941403,0.11478175534979444,0,2021,2022,1
690,0,0.7266535694534468,0.17843150700526825,0.09491492354128375,0,2021,2022,1
692,0,0.7294410620506888,0.17851516239083767,0.09204377555847071,0,2021,2022,1
694,0,0.7057074599158644,0.1859884178490158,0.10830412223511923,0,2021,2022,1
696,0,0.7179843566004219,0.18035657548090428,0.10165906791867288,0,2021,2022,1
698,0,0.7171425668145045,0.18818058786024053,0.09467684532525286,0,2021,2022,1
700,2,0.0824359328295332,0.22942162687871678,0.6881424402917514,2,2021,2022,1
701,0,0.6276069133884085,0.23944849084490247,0.13294459576668782,0,2021,2022,1
702,0,0.6183121368949,0.26260119586102393,0.11908666724407463,0,2021,2022,1
703,0,0.718136199152038,0.1820795146212736,0.09978428622668677,0,2021,2022,1
704,0,0.6175815993221108,0.23961877367182993,0.14279962700605928,0,2021,2022,1
705,0,0.6119052509133175,0.24998049472578152,0.13811425436089983,0,2021,2022,1
710,0,0.6764485048633443,0.21312899820963335,0.1104224969270222,0,2021,2022,1
712,0,0.8390140145462744,0.12385489605362313,0.03713108940010214,0,2021,2022,1
731,0,0.7149706999415038,0.18904734843090065,0.09598195162759499,0,2021,2022,1
732,0,0.7964768615106383,0.1459410390877827,0.057582099401577345,0,2021,2022,1
740,0,0.852426752096477,0.11919440541910746,0.02837884248441468,0,2021,2022,1
760,0,0.7445421655993559,0.1721392897902805,0.08331854461036305,0,2021,2022,1
770,2,0.09865995659013219,0.3003818852012038,0.6009581582086646,2,2021,2022,1
771,0,0.632600517758538,0.25615397458946015,0.11124550765200025,0,2021,2022,1
775,1,0.14909081864288273,0.44003994441785105,0.4108692369392666,2,2021,2022,1
780,0,0.6787564676855127,0.20993631887178188,0.11130721344270436,0,2021,2022,1
790,0,0.5935759483240333,0.2591572345068415,0.14726681716912512,0,2021,2022,1
800,1,0.11657665638448052,0.5972661371978383,0.28615720641768005,1,2021,2022,1
811,0,0.613379031541477,0.25820116807600263,0.12841980038251757,0,2021,2022,1
812,0,0.6286171901278506,0.2211375400497239,0.15024526982242598,0,2021,2022,1
816,0,0.7024671420133421,0.1991755282444146,0.09835732974224155,0,2021,2022,1
820,0,0.7306423581816527,0.17962380005098424,0.0897338417673605,0,2021,2022,1
830,0,0.7126805462753629,0.18836055465919013,0.09895889906544512,0,2021,2022,1
840,2,0.06692098230012469,0.22856568052752807,0.7045133371723447,2,2021,2022,1
850,1,0.18733447351607424,0.6456154038478108,0.16705012263611635,1,2021,2022,1
